arr_size,n_comps
260,1759
806,6781
323,2314
233,1549
312,2211
743,6151
471,3591
327,2333
404,2991
872,7431
36,150
42,177
615,4936
509,3921
676,5506
770,6436
270,1840
941,8129
747,6184
854,7252
513,3964
111,620
301,2112
465,3548
740,6123
30,112
430,3235
607,4869
498,3815
723,5972
836,7075
505,3874
191,1206
993,8625
171,1062
629,5052
243,1630
409,3025
667,5445
544,4240
969,8405
207,1340
364,2650
926,7978
406,3000
664,5379
44,186
839,7122
739,6107
963,8342
536,4189
562,4443
257,1728
813,6830
521,4034
786,6599
250,1679
852,7199
354,2569
942,8111
370,2722
283,1957
697,5713
780,6506
381,2781
766,6373
620,5002
981,8507
645,5233
433,3256
856,7262
956,8295
192,1214
964,8373
619,4985
763,6386
484,3710
931,7994
901,7752
335,2400
339,2417
68,333
678,5520
607,4846
243,1621
83,424
100,539
986,8549
731,6043
836,7077
54,243
168,1044
842,7119
769,6437
737,6093
659,5342
83,432
128,745
993,8680
465,3542